Date,Time,Acel_X,Acel_Y,Acel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
2023-07-27,12:00:16,624,-3264,17740,-6639,2144,864,42.22
2023-07-27,12:00:16,64,-5664,19296,1666,8530,6622,42.46
2023-07-27,12:00:17,-9004,2140,10868,32767,8610,4418,42.41
2023-07-27,12:00:17,-4852,-13404,6608,1247,-221,-5576,42.32
2023-07-27,12:00:18,-1024,-2784,17924,14164,-2245,300,42.46
2023-07-27,12:00:19,-3100,-9448,11944,19283,14442,6801,42.51
2023-07-27,12:00:19,-13812,-3788,7208,-32768,543,-32768,42.51
2023-07-27,12:00:20,-356,-9824,17204,-916,-8050,-17255,42.22
2023-07-27,12:00:20,-3436,-8864,2164,-2588,-3025,2223,42.22
2023-07-27,12:00:21,-7260,9100,18272,-32768,-16787,9914,42.51
2023-07-27,12:00:21,1392,-7144,17324,4515,-3279,-2196,41.99
2023-07-27,12:00:22,1856,-2604,23240,-1331,13278,10186,42.32
2023-07-27,12:00:22,-14156,-7648,2496,1083,17071,11949,42.41
2023-07-27,12:00:23,-15508,-4716,-96,-79,252,313,42.60
2023-07-27,12:00:24,-11572,332,15136,14053,-28697,4310,42.41
2023-07-27,12:00:24,8888,-10592,13600,-32768,-32726,32767,42.60
2023-07-27,12:00:25,7408,-14932,18004,32767,23221,-20075,42.46
2023-07-27,12:00:25,-2408,-14144,16772,32767,13402,-3672,42.41
2023-07-27,12:00:26,-8728,-13720,192,-1466,5178,3848,42.46
2023-07-27,12:00:26,-5432,-10696,-2180,32767,1254,-1569,42.32
2023-07-27,12:00:27,-5104,-12560,9960,-32768,-2648,486,42.32
2023-07-27,12:00:27,-1480,-15152,7912,-1520,1443,-7160,42.60
2023-07-27,12:00:28,-3924,-11048,13552,3238,15805,1942,42.51
2023-07-27,12:00:28,-2072,-2552,17124,2788,-13036,-2126,42.65
2023-07-27,12:00:29,-8540,-5104,11460,-15601,19437,-1444,42.60
2023-07-27,12:00:30,-13688,-5084,5464,2741,-475,-2243,42.32
2023-07-27,12:00:30,-15860,-224,-2596,-32768,-10665,-26290,42.60
2023-07-27,12:00:31,-1796,-15384,16940,-32768,-32768,29894,42.65
2023-07-27,12:00:31,10752,-18280,-11384,17692,8836,-13077,42.46
2023-07-27,12:00:32,-940,-14632,19944,-32768,-3976,13581,42.60
2023-07-27,12:00:32,11828,-11476,22496,-32768,-32768,32767,42.74
2023-07-27,12:00:33,-1816,-19036,8176,-32768,-20286,-12747,42.65
2023-07-27,12:00:33,3828,-16644,19420,-32768,-25906,10577,42.93
2023-07-27,12:00:34,-7664,3864,16408,19286,-5205,-16700,42.65
2023-07-27,12:00:34,-4152,964,20704,32767,6941,-14996,42.60
2023-07-27,12:00:35,-3764,568,18324,-2895,-348,3992,42.65
2023-07-27,12:00:36,1936,-2948,17160,138,216,-4,42.51
2023-07-27,12:00:36,1308,-7308,20996,14893,-7264,-7591,42.60
2023-07-27,12:00:37,-7728,11288,6096,-5156,1266,-4960,42.46
2023-07-27,12:00:37,-6784,-5096,17272,-30061,-9357,8919,42.51
2023-07-27,12:00:38,-5308,-10008,11180,2011,-804,490,42.46
2023-07-27,12:00:38,-12240,776,9668,10441,17269,-2376,42.41
2023-07-27,12:00:39,-13980,3100,7064,4935,277,-6482,42.84
2023-07-27,12:00:39,-6532,2968,16348,-519,-13115,12112,42.60
2023-07-27,12:00:40,6776,2456,17132,2297,-1270,4705,42.60
2023-07-27,12:00:40,1052,1392,16992,4814,19577,-4921,42.65
2023-07-27,12:00:41,-7076,1976,16572,-5004,-2180,-2398,42.93
2023-07-27,12:00:42,-2124,420,17784,-5217,-5050,3167,43.12
2023-07-27,12:00:42,3412,708,16572,-1208,1432,-261,42.65
2023-07-27,12:00:43,-6028,60,17396,-5448,14999,-9583,42.79
2023-07-27,12:00:43,-2232,-6684,15480,836,-10156,-3105,42.65
2023-07-27,12:00:44,-5808,7984,16052,10360,3239,-719,42.74
